user_id,age,sex,fav_genre,isbn,rating
324,24,M,에세이,9788972593638 ,2
763,46,M,역사,9791155812396 ,4
120,15,F,소설,9788932010861 ,4
499,31,M,시,9788932003979 ,5
676,31,F,요리/살림,9788934912866 ,4
871,44,F,만화,9788932009346 ,1
532,32,M,문학,9788931002423 ,4
249,21,M,소설,9788987444116 ,4
704,31,F,여행,9788973370801 ,1
891,47,F,문학,9788974430214 ,4
13,10,M,시,9788973370771 ,2
38,14,M,역사,9788932902494 ,1
139,13,F,시,9788936424374 ,4
325,23,M,에세이,9788932902494 ,2
589,30,M,과학,9788988295373 ,5
897,40,F,문학,9788986448849 ,4
619,37,F,시,9788979191387 ,1
639,39,F,역사,9788934908272 ,5
162,10,F,역사,9788937460043 ,2
118,14,M,과학,9788918030272 ,5
700,36,F,여행,9788959864744 ,5
729,41,M,소설,9788932009346 ,2
397,25,F,역사,9788932902494 ,1
351,22,M,과학,9788937460043 ,1
868,46,F,만화,9788937403170 ,1
542,35,M,고전,9788932009346 ,1
797,40,M,요리/살림,9788932900995 ,2
684,34,F,에세이,9788932900209 ,2
27,11,M,만화,9788932012759 ,4
494,34,M,시,9788973370771 ,2
319,28,M,요리/살림,9788973370801 ,2
611,30,F,소설,9788973370801 ,2
272,28,M,만화,9791165018993 ,5
537,32,M,문학,9788932900209 ,2
9,12,M,소설,9788970631011 ,2
916,43,F,요리/살림,9788956810478 ,4
379,23,F,시,9788932900209 ,1
467,21,F,여행,9788983759184 ,5
661,39,F,고전,9788973370474 ,2
577,36,M,여행,9788932009346 ,1
758,44,M,역사,9791193128992 ,4
211,17,F,에세이,9788972593638 ,1
302,28,M,고전,9788939203471 ,2
344,21,M,여행,9788983755766 ,4
863,48,F,시,9788970754338 ,5
123,16,F,소설,9788939203471 ,2
263,21,M,시,9788979191387 ,2
228,19,F,과학,9788988045312 ,2
124,17,F,소설,9788973370832 ,4
341,24,M,여행,9788983755766 ,5
892,49,F,문학,9788986270396 ,5
830,48,M,과학,9788976820440 ,5
409,22,F,문학,9788977752665 ,5
171,12,F,문학,9788932308890 ,1
152,10,F,만화,9788988045312 ,1
603,35,F,소설,9788979191387 ,2
914,40,F,요리/살림,9788959867691 ,4
842,45,F,소설,9788988045312 ,2
849,43,F,소설,9788932902494 ,2
881,46,F,역사,9788932308890 ,1
181,12,F,고전,9788932308647 ,4
457,29,F,여행,9788985846554 ,1
839,45,M,과학,9788932900209 ,2
892,49,F,문학,9788932009353 ,1
43,11,M,역사,9788982812057 ,2
752,46,M,만화,9788932009346 ,2
286,25,M,역사,9788937460043 ,1
801,47,M,요리/살림,9788973370771 ,2
302,28,M,고전,9788985577922 ,2
483,39,M,소설,9788982812057 ,1
353,26,M,과학,9788985505987 ,4
388,21,F,만화,9791134841362 ,5
132,17,F,시,9788982812057 ,1
489,31,M,소설,9788988045312 ,1
391,27,F,만화,9791134831295 ,4
528,32,M,문학,9788935652044 ,5
758,44,M,역사,9788932009346 ,2
396,25,F,역사,9788932902494 ,1
275,29,M,만화,9788970123691 ,1
312,27,M,요리/살림,9788985577922 ,2
238,16,F,과학,9788942004454 ,4
709,37,F,과학,9788988045312 ,2
37,19,M,역사,9788932900209 ,1
748,49,M,만화,9788932902494 ,1
724,43,M,소설,9788984370807 ,4
442,25,F,요리/살림,9788970415086 ,4
609,36,F,소설,9788972750963 ,4
325,23,M,에세이,9788970123691 ,1
118,14,M,과학,9788984310070 ,4
699,31,F,여행,9788957972502 ,5
513,30,M,만화,9788937403224 ,2
530,32,M,문학,9788937403170 ,1
394,20,F,만화,9791134844448 ,4
610,36,F,소설,9788982812057 ,2
125,19,F,소설,9788973370511 ,5
277,27,M,역사,9788935652099 ,4
881,46,F,역사,9788988045312 ,1
584,34,M,여행,9788939203471 ,2
763,46,M,역사,9791192836485 ,5
360,23,F,소설,9788986167504 ,5
172,15,F,문학,9788973321063 ,4
296,22,M,문학,9788932900995 ,2
805,45,M,에세이,9788972593638 ,1
892,49,F,문학,9788984103078 ,5
869,47,F,만화,9788932900209 ,1
533,34,M,문학,9788935652044 ,5
900,43,F,고전,9788976821034 ,4
140,10,F,시,9788932900995 ,1
156,15,F,역사,9788972911708 ,4
464,28,F,여행,9788912090029 ,2
39,14,M,역사,9788932009346 ,1
56,17,M,문학,9788982811715 ,5
58,17,M,문학,9788985548441 ,5
287,25,M,역사,9788936483050 ,5
162,10,F,역사,9788932902494 ,1
713,37,F,과학,9788971842676 ,5
934,49,F,에세이,9788934994985 ,5
576,35,M,여행,9788937403170 ,2
838,43,M,과학,9788937403170 ,2
918,44,F,요리/살림,9788970123691 ,2
654,37,F,문학,9788912540586 ,4
54,14,M,문학,9788988344057 ,4
104,16,M,여행,9788971844755 ,5
379,23,F,시,9788932308890 ,1
320,21,M,요리/살림,9791140710089 ,5
691,31,F,에세이,9788981101077 ,5
778,47,M,문학,9788939203471 ,1
506,34,M,만화,9788932308890 ,2
864,46,F,만화,9788985577922 ,1
487,37,M,소설,9788970123691 ,1
314,23,M,요리/살림,9788973370771 ,1
707,33,F,여행,9788982812057 ,1
603,35,F,소설,9788986834765 ,4
687,33,F,에세이,9788974430054 ,2
759,43,M,역사,9791155812396 ,4
150,14,F,만화,9788932900995 ,1
433,24,F,요리/살림,9788970902067 ,4
100,11,M,여행,9788985577922 ,2
478,27,F,과학,9788932011066 ,5
741,41,M,시,9788937403224 ,2
533,34,M,문학,9788981333133 ,5
417,28,F,문학,9788973370801 ,1
86,18,M,에세이,9788932900209 ,2
241,26,M,소설,9788973370771 ,2
484,31,M,소설,9788937401411 ,4
457,29,F,여행,9788937460043 ,1
920,44,F,요리/살림,9788952746498 ,4
627,33,F,만화,9788937403170 ,1
859,46,F,시,9788973370801 ,2
538,38,M,문학,9788977660090 ,5
90,15,M,에세이,9788985599009 ,4
558,37,M,요리/살림,9788985846554 ,2
887,49,F,역사,9788937403170 ,1
535,39,M,문학,9788978470377 ,5
503,30,M,시,9788937460043 ,1
282,27,M,역사,9788932900209 ,2
228,19,F,과학,9788930036948 ,5
498,38,M,시,9788912090029 ,2
313,25,M,요리/살림,9791130653044 ,5
176,17,F,문학,9788988045312 ,1
681,33,F,요리/살림,9788912090029 ,2
655,38,F,문학,9788979191387 ,2
56,17,M,문학,9788988344057 ,5
151,15,F,만화,9791136215239 ,5
820,44,M,여행,9788952749499 ,4
51,10,M,문학,9788932009346 ,1
132,17,F,시,9788985846554 ,2
638,35,F,역사,9788934908272 ,5
173,15,F,문학,9788932900995 ,2
477,20,F,과학,9788934904434 ,5
792,48,M,요리/살림,9788973370801 ,2
9,12,M,소설,9788932009346 ,5
750,43,M,만화,9791136736697 ,5
281,22,M,역사,9788971392010 ,5
40,15,M,역사,9788973370771 ,2
272,28,M,만화,9791164034802 ,4
332,27,M,에세이,9788982732195 ,4
217,11,F,여행,9788985846554 ,1
140,10,F,시,9788932009346 ,1
878,47,F,역사,9788932308890 ,2
332,27,M,에세이,9788939203471 ,2
843,49,F,소설,9788935601271 ,5
486,35,M,소설,9788935601202 ,4
814,47,M,에세이,9791187119845 ,4
196,17,F,요리/살림,9788973370474 ,1
885,42,F,역사,9791192913865 ,4
338,25,M,여행,9788970123691 ,1
396,25,F,역사,9788932009346 ,2
77,11,M,요리/살림,9788932009346 ,2
816,41,M,여행,9788957972595 ,4
317,21,M,요리/살림,9788937403170 ,2
233,19,F,과학,9788930036948 ,4
779,47,M,문학,9788935652242 ,4
499,31,M,시,9788979191387 ,1
214,13,F,에세이,9788970123400 ,4
99,17,M,여행,9788985901260 ,5
30,10,M,만화,9788934902805 ,4
459,21,F,여행,9788957574775 ,5
352,21,M,과학,9788988045084 ,5
179,16,F,문학,9788987671024 ,4
61,16,M,고전,9788970123691 ,1
729,41,M,소설,9788983920720 ,4
601,36,F,소설,9788979191387 ,1
848,45,F,소설,9788988017135 ,4
822,44,M,여행,9788959371471 ,4
365,27,F,소설,9788972593621 ,4
925,42,F,에세이,9791196688318 ,4
194,15,F,요리/살림,9788983753656 ,4
113,11,M,과학,9788981630010 ,5
787,41,M,고전,9788972593638 ,2
918,44,F,요리/살림,9788950908355 ,4
493,39,M,시,9788932009346 ,2
471,24,F,과학,9788983710253 ,4
171,12,F,문학,9788970961279 ,5
