K :  10
Iteration: 20 ; Train RMSE = 0.8897 ; Test RMSE = 0.9288
Iteration: 40 ; Train RMSE = 0.7168 ; Test RMSE = 0.7674
Iteration: 60 ; Train RMSE = 0.6257 ; Test RMSE = 0.6801
Iteration: 80 ; Train RMSE = 0.5617 ; Test RMSE = 0.6201
Iteration: 100 ; Train RMSE = 0.5128 ; Test RMSE = 0.5739
Iteration: 120 ; Train RMSE = 0.4887 ; Test RMSE = 0.5500
Iteration: 140 ; Train RMSE = 0.4780 ; Test RMSE = 0.5400
Iteration: 160 ; Train RMSE = 0.4718 ; Test RMSE = 0.5356
Iteration: 180 ; Train RMSE = 0.4673 ; Test RMSE = 0.5336
Iteration: 200 ; Train RMSE = 0.4635 ; Test RMSE = 0.5328
Iteration: 220 ; Train RMSE = 0.4600 ; Test RMSE = 0.5327
Iteration: 240 ; Train RMSE = 0.4565 ; Test RMSE = 0.5330
Iteration: 260 ; Train RMSE = 0.4529 ; Test RMSE = 0.5337
Iteration: 280 ; Train RMSE = 0.4492 ; Test RMSE = 0.5345
Iteration: 300 ; Train RMSE = 0.4453 ; Test RMSE = 0.5356
Iteration: 320 ; Train RMSE = 0.4413 ; Test RMSE = 0.5368
Iteration: 340 ; Train RMSE = 0.4370 ; Test RMSE = 0.5382
Iteration: 360 ; Train RMSE = 0.4327 ; Test RMSE = 0.5396
Iteration: 380 ; Train RMSE = 0.4284 ; Test RMSE = 0.5412
Iteration: 400 ; Train RMSE = 0.4240 ; Test RMSE = 0.5428
Iteration: 420 ; Train RMSE = 0.4197 ; Test RMSE = 0.5445
Iteration: 440 ; Train RMSE = 0.4154 ; Test RMSE = 0.5463
Iteration: 460 ; Train RMSE = 0.4112 ; Test RMSE = 0.5481
Iteration: 480 ; Train RMSE = 0.4071 ; Test RMSE = 0.5499
Iteration: 500 ; Train RMSE = 0.4030 ; Test RMSE = 0.5517
Iteration: 520 ; Train RMSE = 0.3991 ; Test RMSE = 0.5534
Iteration: 540 ; Train RMSE = 0.3953 ; Test RMSE = 0.5553
Iteration: 560 ; Train RMSE = 0.3916 ; Test RMSE = 0.5570
Iteration: 580 ; Train RMSE = 0.3880 ; Test RMSE = 0.5587
Iteration: 600 ; Train RMSE = 0.3845 ; Test RMSE = 0.5605


K :  20
Iteration: 20 ; Train RMSE = 0.8913 ; Test RMSE = 0.9287
Iteration: 40 ; Train RMSE = 0.7199 ; Test RMSE = 0.7676
Iteration: 60 ; Train RMSE = 0.6323 ; Test RMSE = 0.6825
Iteration: 80 ; Train RMSE = 0.5748 ; Test RMSE = 0.6276
Iteration: 100 ; Train RMSE = 0.5236 ; Test RMSE = 0.5803
Iteration: 120 ; Train RMSE = 0.4930 ; Test RMSE = 0.5505
Iteration: 140 ; Train RMSE = 0.4805 ; Test RMSE = 0.5385
Iteration: 160 ; Train RMSE = 0.4740 ; Test RMSE = 0.5337
Iteration: 180 ; Train RMSE = 0.4693 ; Test RMSE = 0.5314
Iteration: 200 ; Train RMSE = 0.4653 ; Test RMSE = 0.5305
Iteration: 220 ; Train RMSE = 0.4612 ; Test RMSE = 0.5303
Iteration: 240 ; Train RMSE = 0.4568 ; Test RMSE = 0.5305
Iteration: 260 ; Train RMSE = 0.4520 ; Test RMSE = 0.5309
Iteration: 280 ; Train RMSE = 0.4466 ; Test RMSE = 0.5317
Iteration: 300 ; Train RMSE = 0.4405 ; Test RMSE = 0.5326
Iteration: 320 ; Train RMSE = 0.4339 ; Test RMSE = 0.5337
Iteration: 340 ; Train RMSE = 0.4268 ; Test RMSE = 0.5350
Iteration: 360 ; Train RMSE = 0.4192 ; Test RMSE = 0.5365
Iteration: 380 ; Train RMSE = 0.4114 ; Test RMSE = 0.5380
Iteration: 400 ; Train RMSE = 0.4035 ; Test RMSE = 0.5397
Iteration: 420 ; Train RMSE = 0.3955 ; Test RMSE = 0.5414
Iteration: 440 ; Train RMSE = 0.3875 ; Test RMSE = 0.5432
Iteration: 460 ; Train RMSE = 0.3796 ; Test RMSE = 0.5449
Iteration: 480 ; Train RMSE = 0.3719 ; Test RMSE = 0.5466
Iteration: 500 ; Train RMSE = 0.3644 ; Test RMSE = 0.5483
Iteration: 520 ; Train RMSE = 0.3570 ; Test RMSE = 0.5499
Iteration: 540 ; Train RMSE = 0.3499 ; Test RMSE = 0.5515
Iteration: 560 ; Train RMSE = 0.3430 ; Test RMSE = 0.5530
Iteration: 580 ; Train RMSE = 0.3362 ; Test RMSE = 0.5544
Iteration: 600 ; Train RMSE = 0.3297 ; Test RMSE = 0.5558


K :  30
Iteration: 20 ; Train RMSE = 0.8918 ; Test RMSE = 0.9286
Iteration: 40 ; Train RMSE = 0.7209 ; Test RMSE = 0.7674
Iteration: 60 ; Train RMSE = 0.6342 ; Test RMSE = 0.6828
Iteration: 80 ; Train RMSE = 0.5788 ; Test RMSE = 0.6293
Iteration: 100 ; Train RMSE = 0.5281 ; Test RMSE = 0.5826
Iteration: 120 ; Train RMSE = 0.4957 ; Test RMSE = 0.5513
Iteration: 140 ; Train RMSE = 0.4827 ; Test RMSE = 0.5384
Iteration: 160 ; Train RMSE = 0.4764 ; Test RMSE = 0.5332
Iteration: 180 ; Train RMSE = 0.4721 ; Test RMSE = 0.5309
Iteration: 200 ; Train RMSE = 0.4684 ; Test RMSE = 0.5299
Iteration: 220 ; Train RMSE = 0.4648 ; Test RMSE = 0.5295
Iteration: 240 ; Train RMSE = 0.4609 ; Test RMSE = 0.5295
Iteration: 260 ; Train RMSE = 0.4564 ; Test RMSE = 0.5297
Iteration: 280 ; Train RMSE = 0.4513 ; Test RMSE = 0.5301
Iteration: 300 ; Train RMSE = 0.4453 ; Test RMSE = 0.5306
Iteration: 320 ; Train RMSE = 0.4385 ; Test RMSE = 0.5313
Iteration: 340 ; Train RMSE = 0.4309 ; Test RMSE = 0.5321
Iteration: 360 ; Train RMSE = 0.4227 ; Test RMSE = 0.5330
Iteration: 380 ; Train RMSE = 0.4139 ; Test RMSE = 0.5342
Iteration: 400 ; Train RMSE = 0.4047 ; Test RMSE = 0.5353
Iteration: 420 ; Train RMSE = 0.3954 ; Test RMSE = 0.5366
Iteration: 440 ; Train RMSE = 0.3861 ; Test RMSE = 0.5379
Iteration: 460 ; Train RMSE = 0.3769 ; Test RMSE = 0.5391
Iteration: 480 ; Train RMSE = 0.3679 ; Test RMSE = 0.5404
Iteration: 500 ; Train RMSE = 0.3592 ; Test RMSE = 0.5416
Iteration: 520 ; Train RMSE = 0.3507 ; Test RMSE = 0.5426
Iteration: 540 ; Train RMSE = 0.3424 ; Test RMSE = 0.5436
Iteration: 560 ; Train RMSE = 0.3344 ; Test RMSE = 0.5446
Iteration: 580 ; Train RMSE = 0.3267 ; Test RMSE = 0.5455
Iteration: 600 ; Train RMSE = 0.3191 ; Test RMSE = 0.5463


K :  40
Iteration: 20 ; Train RMSE = 0.8921 ; Test RMSE = 0.9286
Iteration: 40 ; Train RMSE = 0.7215 ; Test RMSE = 0.7676
Iteration: 60 ; Train RMSE = 0.6359 ; Test RMSE = 0.6836
Iteration: 80 ; Train RMSE = 0.5835 ; Test RMSE = 0.6325
Iteration: 100 ; Train RMSE = 0.5350 ; Test RMSE = 0.5878
Iteration: 120 ; Train RMSE = 0.4992 ; Test RMSE = 0.5536
Iteration: 140 ; Train RMSE = 0.4845 ; Test RMSE = 0.5388
Iteration: 160 ; Train RMSE = 0.4780 ; Test RMSE = 0.5331
Iteration: 180 ; Train RMSE = 0.4739 ; Test RMSE = 0.5307
Iteration: 200 ; Train RMSE = 0.4707 ; Test RMSE = 0.5295
