title,author,genre_id,genre,ISBN,description_aladin,description_naver,salesPoint,mallType
하악하악 - 이외수의 생존법,"이외수 (지은이), 정태련 (그림)",52904,국내도서>에세이>명사에세이>문인에세이,9788973379507,"포기하지 말라, 절망의 이빨에 심장을 물어 뜯겨본 자만이 희망을 사냥할 자격이 있다. 소설가 이외수와 화가 정태련이 자연과 생명의 소중함, 꿈꾸는 삶의 가치를 이야기하는 세밀화 에세이. '거친 숨소리'를 뜻하는 인터넷 어휘 '하악하악'을 표제로 거칠 것 없는 인생에 대한 저자의 메세지를 담은 흥겨운 내용이다.","이외수와 정태련의 감성호흡, 하악하악!

〈하악하악〉은 자연과 생명의 소중함, 꿈꾸는 삶의 가치를 이야기하는 이외수의 생존법을 전해주는 책이다. 이외수가 빚어낸 재기발랄한 언어와 정태련이 그린 토종 물고기 세밀화가 담겨 있다. 2007년에 출간된「여자도 여자를 모른다」에 이은 두 번째 세밀화 에세이로, 이외수 작가 플레이톡 홈페이지에 매일 올라온 원고 중에서 네티즌의 뜨거운 댓글로 인정받은 수작들만을 엄선해 개작하였다.

거친 숨소리를 뜻하는 인터넷 어휘 '하악하악'은 팍팍한 인생을 거침없이 팔팔하게 살아보자는 이외수의 메시지가 더해져 신나고 흥겨운 에세이 〈하악하악〉으로 새롭게 탄생하였다. 스스로를 인터넷 폐인이자 '꽃노털(꽃미남처럼 사랑받을 만한 노인)'이라 말하는 이외수가 온라인에서 네티즌과 교감하고 소통하면서 한 편 한 편 완성도를 더한 작품들이다.

이 책에는 독특한 5개의 제목 아래 260개의 글이 수록되어 있다. 위트과 아이러니가 돋보이는 짧은 우화들을 통해 일상에서 마주칠 수 있는 깨달음의 순간들을 전해준다. 또한 정태련이 3년에 걸쳐 전국의 산하를 발로 뛰며 그려낸 우리 토종 민물고기 세밀화 65종은 '물고기 박사' 이완옥의 감수를 거쳐 완성도를 높였다. 이외수와 정태련이 알려주는, 메마른 영혼에 감성의 바람을 불어넣는 은밀한 기분전환법을 배울 수 있다.",21911,BOOK
로드,"코맥 매카시 (지은이), 정영목 (옮긴이)",50919,국내도서>소설/시/희곡>영미소설,9788954605908,2006년 제임스 테이트 블랙 메모리얼 상과 2007년 퓰리처상을 수상한 코맥 맥카시의 소설. 묵시록적 비전으로 가득 찬 소설은 대재앙 이후의 지구를 배경으로 길을 떠나는 아버지와 아들의 이야기를 그리고 있다. ‘오프라 윈프리 클럽 도서’ 에도 선정되었으며 2008년 현재 비고 모텐슨이 주연을 맡아 영화로 제작되었다.,"대재앙이 일어난 황폐한 지구에 살아남은 아버지와 아들의 여행!

미국 현대문학을 대표하는 작가 코맥 매카시의 장편소설『로드』. 대재앙 이후의 지구를 배경으로, 길을 떠나는 아버지와 아들의 이야기를 그린 작품이다. 문명이 파괴되고 거의 모든 생명이 멸종한 무채색의 땅. 작가는 지구에 무슨 일이 있었는지 구체적으로 설명하는 대신, 시적인 언어로 우리가 어렴풋이 상상할 수 있는 미래의 황폐함을 묘사하고 있다. 

대재앙이 일어난 지구. 하늘을 떠도는 재에 가려 태양은 보이지 않고, 살아남은 사람들은 서로를 잡아 먹는다. 그런 황폐한 땅에서, 아버지와 어린 아들이 희망을 찾아 길을 걷는다. 아버지와 아들은 바다가 있는 남쪽을 향해 나아가지만 그곳에 무엇이 있는지, 왜 그곳으로 가는지 알 수 없다. 다만 아버지는 '우리는 불을 운반하는 사람들이다'라고 말할 뿐이다.

그들에게는 생활에 필요한 물품들을 담은 카트와 만약의 경우에 대비해 자살용으로 남겨둔 총알 두 알이 든 권총 한 자루가 전부다. 위기를 맞을 때마다 남자는 더 큰 고통을 겪기 전에 아들을 죽이고 자신 역시 목숨을 끊어야 하는 게 아닐까 하는 고뇌에 휩싸인다. 하지만 온갖 역경과 회의에도 불구하고 그들은 다시 남쪽으로 묵묵히 길을 나선다.",16268,BOOK
코믹 메이플 스토리 오프라인 RPG 28,"송도수 (지은이), 서정은 (그림)",49995,국내도서>어린이>TV/만화/영화>만화 일반,9788953291928,,《코믹 메이플 스토리 오프라인 RPG》시리즈 제28권. 본 시리즈는 인기 온라인 게임 '메이플스토리'의 캐릭터와 함께 신나는 모험을 경험하는 코믹 만화책입니다. 도도 일행과 함께 끝나지 않을 것 같은 모험 속으로 떠나 보세요~!,2458,BOOK
시크릿 - 수 세기 동안 단 1%만이 알았던 부와 성공의 비밀,"론다 번 (지은이), 김우열 (옮긴이)",70216,국내도서>자기계발>성공>성공학,9788952206503,"2007년 '아마존' 최고의 화제작. 출간하자마자 아마존 베스트셀러 목록에 올랐고, <오프라 윈프리 쇼>에서 소개되었다. 방송 후 시청자들의 폭발적인 반응에 오프라 홈페이지마저 마비되었고, 결국 책은 미국에서 '가장 짧은 시간에 가장 많이 팔린 책'이 되어버렸다.","성공을 꿈꾸는 모든 이들을 위한 '위대한 성공의 비밀'

플라톤, 레오나르도 다 빈치, 아인슈타인… 지금도 수많은 사람들의 존경을 받는 역사상 위대했던 사상가, 과학자, 개척자, 창조자 등은 사실 '위대한 비밀'을 알고 있었다. 구전과 문학, 종교와 철학에서 단편적으로 전수된 이 비밀은 인생을 뒤바꿔 줄 마법 같은 법칙으로 개인에게 행복한 삶과 물질적인 성공을 동시에 안겨주었다.

『시크릿』은 수 세기 동안 소수의 사람들만이 알고 있었던 '부와 성공의 비밀'을 알려준다. 우리의 내면에 잠재되어 있는 이 비밀의 힘을 이용하면 좀 더 업그레이드 된 인생을 살 수 있을 거라고 조언하며 돈, 인간관계, 건강, 세상, 당신, 인생 등의 분야로 나누어 각각의 위대한 비밀을 파헤친다.

여기에는『영혼을 위한 닭고기 수프』의 잭 캔필드,『화성에서 온 남자 금성에서 온 여자』의 존 그레이 등 부와 성공의 비밀을 잘 활용하여 성공한 24명의 인물이 등장한다. 비밀에서 비롯된 기적 같은 이야기와 성공 인물들의 메시지, 저자가 발견한 손쉬운 방법 및 비결 등을 모두 수록하였다. [양장본]",97960,BOOK
마지막 강의,"랜디 포시, 제프리 재슬로 (지은이), 심은우 (옮긴이)",70211,국내도서>자기계발>행복론,9788952209245,"췌장암으로 시한부 인생을 선고 받은 교수, 랜디 포시의 마지막 강의를 담은 동영상은 전 세계에 큰 화제를 불러일으켰다. 책으로 출간된 이 강의는 아마존과 뉴욕타임스 베스트셀러 1위에 올랐다. &lt;마지막 강의&gt;는 ‘세상에서 가장 아름다운 작별인사’로 랜디 포시의 인생과, 그가 우리에게 부탁하는 소중한 가치들을 담고 있다.","시한부 선고를 받은 대학 교수의 감동적인 마지막 강의!

이 책은 췌장암으로 시한부 인생을 선고 받은 한 교수의 마지막 강의이자 세상에서 가장 아름다운 작별인사이다. 카네기멜론대학의 컴퓨터공학 교수 랜디 포시. 그는 시한부 암 선고를 받았다. 그러나 좌절하지 않고 남은 시간을 어떻게 하면 재미있게 지낼 수 있는지, 아이들에게 어떤 지혜를 남겨줘야 할지 등을 고민하였다.

그리고 캠퍼스의 마지막 강의에서 학생과 동료 교수들에게 장애물을 헤쳐 나가는 방법, 다른 사람들이 꿈을 이룰 수 있게 돕는 방법, 모든 순간을 값지게 사는 방법, 당신의 인생을 사는 방법 등을 이야기한다. 모두 랜디가 살아오면서 믿게 된 모든 가치의 최종 요약들이다.

특히 행복한 삶은 지금 이 순간에 존재하는 것이며, 매일매일을 감사하며 살라고 조언했다. 이는 오늘을 힘겨워하는 많은 이들에게 내일을 살아갈 용기를 선사하고, 삶을 살아가는 즐거움에 대해 생각할 기회를 제공한다. 자신도 모르게 잃어버렸던 어린 시절의 소중함 꿈을 되찾는 방법에 대해서도 배우게 된다. [양장본]",24841,BOOK
네가 어떤 삶을 살든 나는 너를 응원할 것이다,공지영 (지은이),52904,국내도서>에세이>명사에세이>문인에세이,9788996047636,"장편소설 &lt;즐거운 나의 집&gt;의 연장선상에 있는 산문집. 소설에서 화자로 등장했던 작가 자신의 맏딸 위녕에게 하루에 하나씩 쓴 편지글 형식의 전작(全作)이다. 이제 성인이 된 스무 살 딸이 자기 길을 잘 찾아갈 수 있도록, 인생 선배인 엄마가 들려주는 응원 메시지가 실려 있다. 작가는 편지를 쓰는 과정을 통해 인생 문제로 고민하는 딸과 자신의 '독서체험'을 공유하며, 상황에 맞는 책을 통해 함께 고민하고 배워나간다.",,35351,BOOK
꼴 1 : 얼굴을 보고 마음을 읽는다 - 허영만의 관상만화 시리즈,"허영만 (지은이), 신기원 (감수)",7443,국내도서>만화>인터넷 연재 만화,9788960861138,"이 세상에 사람의 생김새만큼 다양하고 무궁무진한 이야기가 또 있을까? 진지한 사회 참여적 성격과 대중성을 두루 갖춘 굵직굵직한 작품들을 통해 만화에 대한 인식을 새롭게 해준 우리 시대 대표 작가 허영만 화백이 만화 인생 30여 년 동안 천착했던 사람의 얼굴, 사람의 이야기를 관상과 함께 풀어놓았다.","이 세상에 사람의 생김새만큼 다양하고 무궁무진한 이야기가 또 있을까? 진지한 사회 참여적 성격과 대중성을 두루 갖춘 굵직굵직한 작품들을 통해 만화에 대한 인식을 새롭게 해준 우리 시대 대표 작가 허영만 화백이 만화 인생 30여 년 동안 천착했던 사람의 얼굴, 사람의 이야기를 관상과 함께 풀어놓았다.



30여 년 동안 13만장의 그림을 그리면서 작가는 사람의 얼굴과 인생에 관심을 기울이게 되었다. 34년의 기다림, 3년여의 준비 기간을 거쳐 그렇게 얼굴의 비밀을 풀어가는 허영만 화백의 여정이 시작되었다. 공부를 통해 작가가 얻은 결론은 관상은 변하고 운도 변한다는 것. 타고난 관상은 어쩔 수 없지만 자신이 어떻게 사느냐에 따라 변한다는 얘기다. 



허영만 화백의 만화로 새롭게 조명되는 사람의 얼굴, 관상의 세계 &lt;꼴&gt;은 '사람의 얼굴을 통해 마음을 읽는다'는 대전제에서 출발한다. 관상이 자칫 외모지상주의를 조장하거나 외모에 대한 잘못된 인식을 심어줄 수도 있다는 우려의 목소리도 있다. 



그러나 겉모습과 마음은 결코 다르지 않고, 마음의 변화와 관상의 변화를 동시에 추구해야 한다는 것이 독자보다 먼저 관상을 접한 작가의 깨달음이다. 결국 허영만 화백의 &lt;꼴&gt;은 심법, 즉 마음의 지혜를 다루는 만화가 될 것이다.",4432,BOOK
돈 걱정 없는 노후 30년 - 2010년 증보판,"고득성, 정성진, 최병희 (지은이)",2225,국내도서>경제경영>재테크/투자>재테크/투자 일반,9788991147515,"김민석이라는 35세 직장인을 내세워 준비 없는 노후가 어떤 모습일지를 생생하게 보여준다. 또한 노후준비의 필요성을 각성한 주인공이 차근차근 생애계획을 세워나가는 모습도 보여준다. 이를 통해 노후를 위해 지금 당장 무엇을 해야 하는지, 실천적 노후대책 지침을 제시하고 있다.",,18017,BOOK
달콤한 나의 도시,정이현 (지은이),50993,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,9788932017150,"소설가 정이현이 등단 이후 첫 장편소설. 직장생활 7년차, 서른한 살 '오은수'를 중심으로, 도시에 거주하는 미혼 여성들의 일과 연애, 친구와 가족, 그리고 결혼에 대한 이야기가 감각적인 필치로 그려진다. 「조선일보」에 연재되었던 작품을 묶은 것으로 권신아의 삽화를 함께 실었으며, 2008년 현재 동명 드라마가 SBS TV에서 방영 중이다.","도시를 살아가는 미혼 여성들의 일과 우정, 그리고 사랑!

2002년 제1회  신인 문학상을 수상하며 등단한 정이현의 첫 장편소설『달콤한 나의 도시』. 이효석문학상과 현대문학상 등을 수상하며 주목을 받아온 작가는 신문에 연재한 이 작품을 통해 등장인물과 문체, 내용, 형식 등 모든 면에서 '도발적이고 치밀하다'라는 평가를 받았다. 2005년 10월부터 2006년 4월까지 연재되었던 소설을 모아 엮었다. 

이 소설은 '도시적 삶의 코드'를 전면에 내세워 그 자장 안에서 얽히고설킨 인물의 내면을 집요하게 파고든다. 이제 막 직장생활 7년차를 건너온 서른한 살의 '오은수'를 주인공으로 도시에 거주하는 미혼 여성들의 일과 연애, 친구와 가족, 그리고 결혼에 대한 이야기를 솔직하게 담아내었다. 

15년 우정을 자랑하는 단짝 은수와 유희, 재인의 각기 다른 직업관과 연애관, 결혼관이 솔직담백하게 펼쳐진다. 여기에 더해, 불투명한 미래에 대한 불안을 열정과 도전으로 맞서는 다정한 연하남 태오, 모든 면에서 반듯하지만 알 수 없는 비밀을 간직한 영수, 오랜 시간 소울메이트 같은 친구에서 이성으로 다가서는 유준 등 독특한 개성을 지닌 남자들의 이야기가 전개된다. 일러스트레이터 권신아의 삽화를 각 부의 첫머리에서 만날 수 있다.",15268,BOOK
서른 살이 심리학에게 묻다 - 대한민국 30대를 위한 심리치유 카페,김혜남 (지은이),51514,국내도서>인문학>심리학/정신분석학>교양 심리학,9788901078588,"심리학이 서른 살의 삶과 일, 사랑, 인간관계에 대해 들려주고 싶은 이야기들을 담고 있는 책. 지은이 김혜남은 ‘내 인생, 도대체 뭐가 문제인 걸까? 진정 내가 원하는 것은 무엇일까? 내게도 다시 사랑이 올까?’ 등을 고민하며 방황하는 서른 살을 위해 35개의 테마로 나누어 삶이 외롭고 우울한 진짜 이유들을 분석한다.","내 인생, 도대체 뭐가 문제인 걸까? 진정 내가 원하는 것은 무엇일까? 내게도 다시 사랑이 올까?

서른살의 삶과 사랑, 일에 관하여 이야기한『서른살이 심리학에게 묻다』. 이 책은 인생의 전환기인 30대에 들어선 젊은이들이 느끼는 불안과 자립에 관한 조언을 담고 있다. 갑작스레 어른들의 사회로 던져진 채 느껴야하는 낯설은 감정과 다시는 올 것 같지 않은 사랑에 대한 고민, 직장내에서의 인간관계와 자신의 욕망에 충실하게 대하는 방법 등을 정신과 의사인 저자가 심리학적으로 35가지 테마로 나눠 조언한다. 그리고 왜 서른 살은 마음먹은 만큼 성공할 수 있는지, 왜 더 뜨겁고 간절하게 사랑할 수 있는지, 왜 마음껏 행복해질 수 있는지를 밝힌다. 저자는 서른 살에게 말한다.",21646,BOOK
