title,author,genre_id,genre,ISBN,description_aladin,description_naver,salesPoint,mallType
지금 여기 깨어있기,법륜 (지은이),51639,국내도서>종교/역학>불교>불교명상/수행,9788985961851,"즉문즉설로 수많은 사람들의 고민을 듣고 길을 제시한 법륜 스님이 새 책 &lt;지금 여기, 깨어있기&gt;를 펴냈다. 특히, &lt;지금 여기, 깨어있기&gt;에서는 법륜 스님 자신의 인생에 큰 전환점이 되었던 깨달음의 순간을 생생하게 들려준다.",,10618,BOOK
미움받을 용기 (반양장) - 자유롭고 행복한 삶을 위한 아들러의 가르침,"기시미 이치로, 고가 후미타케 (지은이), 전경아 (옮긴이), 김정운 (감수)",51514,국내도서>인문학>심리학/정신분석학>교양 심리학,9788996991342,2015년 최다 판매 1위. 아들러 심리학에 관한 일본의 제1인자인 철학자 기시미 이치로의 명 해석과 베스트셀러 작가인 고가 후미타케의 맛깔스러운 글이 잘 결합되어 새로운 형식을 선보인다.,,104677,BOOK
비밀의 정원 - 안티 - 스트레스 컬러링북,조해너 배스포드 (지은이),114987,국내도서>건강/취미>컬러링북,9791185502076,"어른들을 위한 컬러링북의 대표작으로 손꼽힌다. 2013년 영국에서 처음 출간된 이후, 이미 13개국에 판매되었다. 영국에서 10만 부, 미국에서 12만 부가 팔렸고, 프랑스에서는 출간 6개월이 지난 지금도 계속 매주 2천 명의 독자들이 찾는 베스트셀러가 되었다.",,38899,BOOK
습관의 재발견 - 기적 같은 변화를 불러오는 작은 습관의 힘,"스티븐 기즈 (지은이), 구세희 (엮은이)",70216,국내도서>자기계발>성공>성공학,9788997575336,블로그 ‘딥 이그지스턴스’(Deep Existence)를 운영하는 미국의 파워블로거이자 자기계발 전문가인 스티븐 기즈의 책. 저자는 정신없이 바쁘고 피곤에 찌든 삶을 살아가는 현대인들에게 알맞고 ‘무조건 실천 가능한’ 전략으로 ‘작은 습관 프로젝트’를 제시한다.,,9625,BOOK
창문 넘어 도망친 100세 노인,"요나스 요나손 (지은이), 임호경 (옮긴이)",51032,국내도서>소설/시/희곡>세계의 소설>북유럽소설,9788932916194,"스웨덴 작가 요나스 요나손의 장편소설. 기자와 PD로 오랜 세월 일해 온 작가의 늦깎이 데뷔작인 이 소설은 인구 900만의 스웨덴에서 100만 부, 전 세계적으로 500만 부 이상 팔리며 '백 세 노인 현상'을 일으켰다.",,39663,BOOK
진짜 영어 공부 - 태어나서 처음 하는,이혜영 (지은이),49835,국내도서>외국어>영어독해,9788958075486,"6개월 동안 뭘 해야 하는지, 어떤 내용을 공부해야 하는지, 어떤 마음가짐으로 공부해야 하는지 저자가 친근하게 자신의 경험을 토대로 이야기해 주는 에세이 형식의 본책과 필요한 단어 목록까지 실전 공부에 꼭 필요한 구체적인 과제가 담긴 트레이닝북으로 구성되어 있다.",,4541,BOOK
해커스 토익 보카 : 토익 최신 기출 단어.적중 출제포인트 30일 완성 (구토익) - 최신기출 반영,David Cho (지은이),49857,국내도서>외국어>토익>Vocabulary,9788965420705,"토익 베스트셀러 1위 &lt;해커스 토익 보카&gt; 전면개정판. 보다 효과적인 학습을 위해 토익 기출 어휘들을 주제별로 묶어 연상 학습이 가능하며, 토익 최신 기출 단어와 출제포인트를 30일에 완성할 수 있다. 
",,17419,BOOK
나미야 잡화점의 기적 (양장),"히가시노 게이고 (지은이), 양윤옥 (옮긴이)",50998,국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설,9788972756194,히가시노 게이고 소설. 총 5장으로 구성된 &lt;나미야 잡화점의 기적&gt;은 시공간을 초월하여 편지를 주고받는다는 설정 때문에 판타지 색채가 두드러져 보일 수 있지만 이는 각각의 이야기와 등장인물을 하나의 연결 고리로 모으는 주요 장치로 작용한다.,,110433,BOOK
"해커스 토익 Reading (Hackers TOEIC Reading) (최신경향 반영 전면개정판) - 무료 동영상강의 제공,토익 단어암기장 별책수록, 실전모의고사 2회분 수록",David Cho (지은이),49854,국내도서>외국어>토익>Reading,9788965420170,"‘토익 리딩의 기본서’로, 최신 토익 출제 경향의 철저한 분석을 바탕으로 문제 해결 전략을 제시하였다. 진단고사로 취약점을 파악하고 자신에게 맞는 학습법을 계획한다면 탄탄한 기본기를 바탕으로 괄목할만한 토익 실력 향상을 기대할 수 있을 것이다.",,13439,BOOK
"지적 대화를 위한 넓고 얕은 지식 : 현실 세계 편 (반양장) - 역사,경제,정치,사회,윤리 편",채사장 (지은이),51378,국내도서>인문학>교양 인문학,9788994120966,"역사, 경제, 정치, 사회, 윤리 전 과정을 마치 하나의 천일야화처럼 재미있는 이야기로 자연스럽게 풀어낸다. 먼저 역사는 직선적 시간관에 의해 설명된다. 이 과정에서 원시시대부터 현대까지 기나긴 세계사가 자연스럽게 이해된다.",,64385,BOOK
센트럴파크,"기욤 뮈소 (지은이), 양영란 (옮긴이)",107436,국내도서>소설/시/희곡>액션/스릴러소설>외국 액션/스릴러소설,9788984372412,기욤 뮈소의 스릴러 소설. 프랑스에서만 100만 부를 판매하며 독자들과 언론으로부터 역시 기욤 뮈소라는 찬사를 이끌어낸 작품이다. 고전적인 스릴러의 전개방식인 형사와 범인의 쫓고 쫓기는 추격전에 매몰되기보다는 다양한 시도를 통해 색다른 이야기를 그려 보인다.,,5750,BOOK
문학동네 81호 - 2014.겨울 - 창간 20주년 기념호,문학동네 편집부 (엮은이),51215,국내도서>소설/시/희곡>문학 잡지>문학동네,9771227843206,"계간 「문학동네」 2014년 겨울호. 창간 20주년 기념호이다. 김훈, 김연수, 은희경, 성석제, 김영하, 박현욱, 김언수, 천명관, 박민규, 김유진, 손보미의 신작 단편과 진수미, 이영주, 조동범, 송승환, 조영석, 이선욱, 김재훈, 최예슬 신작 시를 만나볼 수 있다.",,3848,BOOK
혼자의 발견,곽정은 (지은이),52906,국내도서>에세이>명사에세이>기타 명사에세이,9788993928792,"그와 나는 그린라이트일까 아닐까. 뭉근하고 저릿하고 아리송한 사랑. 이토록 복잡미묘한 사랑과 사랑하는 사람들에 관하여 수많은 많은 명언들을 쏟아낸 칼럼니스트 곽정은. 그녀가 패션지에서 10년간 일하며 만난 1,000여 명의 사람들에 대한 에세이 &lt;내 사람이다&gt;를 펴낸 지 3년 만에 새로운 책을 출간한다.",,3130,BOOK
에디톨로지 (반양장) - 창조는 편집이다,김정운 (지은이),51514,국내도서>인문학>심리학/정신분석학>교양 심리학,9788950967062,"유쾌한 인문학으로 돌아온 김정운의 신작. 창조란 별 다른 것이 아니다. 세상 어디에도 없는 특별한 것도 아니다. 창조는 기존에 있던 것들을 구성하고, 해체하고, 재구성한 것의 결과물이다. 세상의 모든 창조는 이미 존재하는 것들의 또 다른 편집이라는 뜻이다.",,6151,BOOK
상처받을 용기 - 모두에게 사랑받을 필요는 없다,이승민 (지은이),5247,국내도서>자기계발>인간관계>교양심리학,9788960867468,"단순히 나를 아끼고 사랑하면 자존감이 올라가는 것일까? 저자는 오히려 나에게 상처를 주는 사람이나 상황에 대해 단호하게 맞설 수 있을 때, 그리고 모두에게 사랑받을 수는 없다는 것을 자각하는 데서 문제를 해결할 수 있다고 말한다.",,2985,BOOK
"해커스 토익 Listening (Hackers TOEIC Listening) (최신경향 반영 전면개정판) - 받아쓰기&쉐도잉 CD 수록, 토익 단어암기장 별책수록, 실전모의고사 2회분 수록",David Cho (지은이),49855,국내도서>외국어>토익>Listening,9788965420194,"'토익 리스닝의 기본서'로, 최신 토익 출제 경향의 철저한 분석을 바탕으로 문제 해결 전략을 제시하였다. 진단고사로 취약점을 파악하고 자신에게 맞는 학습법을 계획한다면 탄탄한 기본기를 바탕으로 괄목할만한 토익 실력 향상을 기대할 수 있을 것이다.",,10572,BOOK
미생 특별 보급판 세트 - 전9권,윤태호 (지은이),7443,국내도서>만화>인터넷 연재 만화,9788960867581,한국 만화계의 대표 스토리텔러 윤태호의 『미생 - 아직 살아 있지 못한 자』특별 보급판이 위즈덤하우스에서 출시되었다. 출간 이후 200만 부 판매고를 올리며 명실공히 국민만화로 자리매김한 &lt;미생&gt;의 감동을 더 많은 독자들과 함께 나누기 위한 취지이다.,,3079,BOOK
트렌드 코리아 2015 - 서울대 소비트렌드분석센터의 2015 전망,"김난도, 전미영, 이향은, 이준영, 김서영, 최지혜 (지은이)",263,국내도서>경제경영>트렌드/미래전망>트렌드/미래전망 일반,9788959893010,대한민국 대표 소비트렌드 분석가로 인정받는 김난도 교수와 그가 이끄는 서울대학교 소비트렌드 분석센터에서는 2009년부터 매년 말 한국 시장을 주도할 10대 소비트렌드를 예측해서 발표하고 있다.,,4340,BOOK
마왕 신해철 - 신해철 유고집,신해철 (지은이),52905,국내도서>에세이>명사에세이>방송연예인에세이,9788954633994,"우리 곁을 갑작스레 떠난 뮤지션 신해철이 오랫동안 틈틈이 써온 글을 모은 유고집이다. 유족의 뜻에 따라 펴내게 된 이 유고집에는 어린 시절부터 청년 시절 이야기, 그리고 그의 음악관과 세계관을 엿볼 수 있는 내밀한 고백들이 담겨 있어, 우리 대중음악사에 거대한 족적을 남긴 한 인물의 자전적 기록으로서도 그 가치가 소중하고 특별하다.",,2570,BOOK
여자 없는 남자들,"무라카미 하루키 (지은이), 양윤옥 (옮긴이)",50998,국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설,9788954625586,"일본 출간 당시 예약판매로만 30만 부의 판매고를 올린 무라카미 하루키의 신작 소설집. '여자 없는 남자들'이라는 하나의 주제 아래 써내려간 여섯 편의 작품과 함께, 프란츠 카프카의 걸작 &lt;변신&gt;의 독특한 오마주이자 해외 판본에만 특별히 수록되는 단편 '사랑하는 잠자'를 가장 먼저 만나볼 수 있다.",,20790,BOOK
21세기 자본 (양장),"토마 피케티 (지은이), 장경덕 (옮긴이), 이강국 (감수)",51154,국내도서>사회과학>사회사상/사회사상사>사회사상/사회사상사 일반,9788967351274,"전 세계에 ‘피케티 신드롬’을 불러일으킨 프랑스 파리경제대 토마 피케티 교수의 &lt;21세기 자본&gt;이 드디어 출간한다. 지난해 8월에 프랑스, 올해 4월에 미국에서 번역 출간된 이후 경제계는 물론 세계 지성인의 주목을 한 몸에 받아온 역작이다.",,13060,BOOK
우리가 사랑한 소설들 - 빨간책방에서 함께 읽고 나눈 이야기,"이동진, 김중혁 (지은이)",52906,국내도서>에세이>명사에세이>기타 명사에세이,9788959138555,회당 다운로드 수 평균 15만 회를 기록하고 있는 팟캐스트 방송 [이동진의 빨간책방]. 그동안 [빨간책방]에서 메인 테마 도서로 다루었던 80여 권의 책 중 청취자들에게 가장 큰 호응을 얻었던 외국 소설 7편을 엄선하여 방송 내용을 다시 글로 옮겨 정리하고 보충한 책이다.,,2061,BOOK
"마법천자문 30 - 눈을 떠라, 전설의 수호자! 용 룡(龍)","올댓스토리 (지은이), 홍거북 (그림), 김창환 (감수)",48941,국내도서>어린이>어린이 한자>학습만화,9788950967024,손오공의 모험 이야기를 따라가면서 쓰기보다 뜻과 소리를 먼저 읽고 그림으로 한자를 보면서 학습할 수 있도록 한 한자학습만화다. 마법의 주문으로 음과 훈을 읽기 때문에 재미있게 한자를 배울 수 있다.,,5284,BOOK
소년이 온다,한강 (지은이),50993,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,9788936434120,섬세한 감수성과 치밀한 문장으로 인간 존재의 본질을 탐구해온 작가 한강의 여섯번째 장편소설. '상처의 구조에 대한 투시와 천착의 서사'를 통해 한강만이 풀어낼 수 있는 방식으로 1980년 5월을 새롭게 조명한다.,,65912,BOOK
장하준의 경제학 강의 (반양장) - 지금 우리를 위한 새로운 경제학 교과서,"장하준 (지은이), 김희정 (옮긴이)",88020,국내도서>경제경영>[경제경영 사상가 20인]>장하준,9788960514065,"영국 케임브리지대 경제학과 교수인 장하준이 쓴 ‘일반인을 위한 경제학 입문서’. 경제란 무엇이고, 경제학을 왜 알아야 하는지에서 출발해 자본주의 경제가 어떤 과정을 통해 현재에 이르게 되었는지 간략한 경제사를 훑어본 뒤 경제학의 주류인 신고전파는 물론 마르크스학파, 케인스학파, 개발주의, 행동주의 등 다양한 경제학파를 소개하고 장단점을 조목조목 설명해 준다.",,15387,BOOK
"해커스 토익 스타트 리딩 (Hackers TOEIC Start Reading, 구토익) - 무료 동영상강의 제공 + 온라인 토익 모의고사 + 단어암기장 및 단어암기MP3 무료 제공",David Cho (지은이),49854,국내도서>외국어>토익>Reading,9788965420354,"초보를 위한 토익 입문서로, 토익 Reading 학습의 3박자인 문법.어휘.독해를 매일 골고루 학습하여 4주 만에 완성할 수 있는 차별화된 구성을 도입하였다. 초보자에게 맞는 핵심 포인트만을 골라 친절한 설명과 해설로 정리하였다.",,11833,BOOK
"나의 한국현대사 - 1959-2014, 55년의 기록",유시민 (지은이),52591,국내도서>역사>한국근현대사>한국전쟁 이후~현재,9788971996096,"&lt;거꾸로 읽는 세계사&gt;, &lt;내 머리로 생각하는 역사 이야기&gt; 등 스테디셀러로 자리 잡은 대중역사서의 집필 경험과 정치인의 경험을 살려 최근 교학사 교과서 파동과 문창근 총리 후보자의 역사의식 문제로 또다시 얼룩진 현대사를 풀어쓰고 있다.",,29641,BOOK
디어 마이 디어 Dear My Dear,우지혜 (지은이),51125,국내도서>소설/시/희곡>로맨스소설>한국 로맨스소설,9788941339847,"우지혜의 로맨스 소설. 열여덟, 스물여섯. 소녀와 보호자라는 말이 안 되는 관계에 묶여 그 아슬아슬한 경계에 붙박였던. 그러나 '절대'라는 단어가 그 힘을 잃을 만큼 참 아프게도 흘렀던 7년이란 시간은 소녀를 여자로 만들었고, 그녀에게 조금 미쳤던 그를 아주 많이 미친 남자로 만들었다.",,721,BOOK
강신주의 감정수업 - 스피노자와 함께 배우는 인간의 48가지 얼굴,강신주 (지은이),51378,국내도서>인문학>교양 인문학,9788937488351,철학자 강신주가 읽어주는 욕망의 인문학. 17세기 철학자 스피노자와 그의 저서 &lt;에티카&gt;는 철학사에서 많은 논란과 동시에 흠모의 대상이다. 강신주 박사는 스피노자가 정의한 48가지 감정을 우리의 현실에 비추어 하나하나 세심하게 설명해 준다.,,24418,BOOK
"해커스 토익 스타트 리스닝 (Hackers TOEIC Start Listening) (최신경향 반영 개정판, 구토익)",David Cho (지은이),49855,국내도서>외국어>토익>Listening,9788965420378,"‘초보를 위한 토익 입문서’로, 토익 리스닝 기초에 필요한 핵심 포인트만을 골라 친절한 해설과 함께 4주 만에 완성할 수 있도록 구성하였다.",,9226,BOOK
양말 도깨비 1,만물상 (지은이),7443,국내도서>만화>인터넷 연재 만화,9788901166674,"DAUM 만화속세상에서 연재 중인 인기 웹툰으로, 작가의 데뷔작이기도 하다. 자극적인 콘텐츠가 넘쳐나는 요즘, 순한 캐릭터들이 들려주는《양말도깨비》는 힐링이 무엇인지 제대로 느끼게 하는 착한 만화다.",,4476,BOOK
주기자의 사법활극 - 소송전문기자 주진우가 알려주는 소송에서 살아남는 법,주진우 (지은이),51059,국내도서>사회과학>비평/칼럼>한국사회비평/칼럼,9791156755319,전작 &lt;주기자: 주진우의 정통시사활극&gt;가 지난 십여 년간 기자 생활을 하며 탐사했던 정재계와 종교계 등 우리나라 기득권층에서 벌어진 굵직한 사건사고들을 정리한 정치사회서라면 이번 책에서는 각자 개인의 안녕을 위해 반드시 알아둬야 할 사법 지식과 소송 노하우를 담고 있다.,,3695,BOOK
