title,author,genre_id,genre,ISBN,description_aladin,description_naver,salesPoint,mallType
역사의 역사 - History of Writing History,유시민 (지은이),1438,국내도서>역사>역사학>역사학 일반,9788971998557,"&lt;거꾸로 읽는 세계사&gt; 작가 유시민의 신작. 고대로부터 최근까지 역사를 사로잡은 18권의 역사서들을 9장으로 나누어 훑으며 ‘역사’라는 화두를 전개해간다. 서문과 프롤로그에서 역사 탐사의 계획을 소개한 뒤, 본문에서 각각의 역사서와 역사가들이 역사를 무엇이라 생각했는지 탐문한다.","시대를 읽는 작가 유시민, ‘역사란 무엇인가’를 묻다!

인간의 역사에 남은 역사서와 역사가, 그 역사가들이 살았던 시대와 그들이 서술한 역사적 사건에 대한 이야기를 추적한 유시민의 역사 르포르타주 『역사의 역사』. 경제학도, 정치가, 지식소매상에서 최근에는 방송인으로도 종횡무진 활동하는 작가 유시민이 오랜 독서와 글쓰기의 원점인 역사 속으로 돌아왔다. 역사교과서 국정화 파동과 이어진 촛불혁명을 마주하면서 역사의 현장이 어떻게 기록되고 전해지는지 다시금 관심을 기울인 저자는 2016년 겨울, ‘역사란 무엇인가’라는 최초의 질문의 자리로 돌아가 이 책의 집필을 시작했다.

‘역사란 무엇인가’는 저자가 오랫동안 품어온 질문이자 평생에 걸쳐 찾는 지적 과제다. 이에 제대로 답하기 위해 무엇보다 역사의 발생사 즉, 역사의 역사를 깊게 이해하는 일이 필요하다고 판단한 저자는 역사의 고전으로 오랫동안 독자들의 사랑을 받았거나 최근 관심을 끈 대표적인 역사서들을 찾아 틈틈이 읽고 정리했다. 역사의 서술 대상이나 서술 방식은 각기 달랐지만 위대한 역사서들은 모두 저마다의 방식으로 지금 우리에게 말 걸기를 시도했고, 저자는 그 목소리들에 귀 기울이는 것이야말로 역사에 가장 정직하게 접근하는 방식이라 여겼다. 

이 책에는 이처럼 저자가 탐사한 동서양의 역사가 16인과 그들이 쓴 역사서 18권이 담겨있다. 사마천의 《사기》, 이슬람 문명의 발생사를 연구하는 학자들에게 귀한 길잡이가 되어준 《역사서설》 등의 역사서를 고대부터 현재까지 시대 순으로 9장으로 나뉘어 구성했고, 각 장에서 때로는 한 명의 역사가와 한 권의 책을, 때로는 복수의 역사가와 여러 권을 함께 살펴본다. 르포라는 특성상 역사서들의 원문을 적지 않게 소개하고 인용할 수밖에 없는데, 지면의 한계와 번역의 아쉬움을 덜기 위해 저자가 직접 발췌 요약과 번역까지 도맡았다. 

저자는 이 책에서 한마디로 역사를 정의한다거나 자신의 의견을 높이는 대신 역사가들의 이야기를 전하고 그 아래 스민 메시지와 감정에 공감하는 데 집중한다. 사람들이 어떻게 삶을 해석하고 생각하고 감정을 느끼며 살아왔는지 살펴보며, 위대한 역사가들이 우리에게 전하려고 했던 생각과 감정을 듣고 느껴봄으로써 역사가 무엇인지 밝히는 데 도움이 될 실마리를 찾고자 한다. 이를 통해 저마다 역사를 읽고 살아가는 태도를 돌아볼 기회를 마련해준다.",39519,BOOK
마법천자문 42 - 오직 나만! 홀로 독 獨!,"김현수 (지은이), 홍거북 (그림), 김창환 (감수)",48941,국내도서>어린이>어린이 한자>학습만화,9788950975739,손오공의 모험 이야기를 따라가면서 쓰기보다 뜻과 소리를 먼저 읽고 그림으로 한자를 보면서 학습할 수 있도록 한 한자학습만화다. 마법의 주문으로 음과 훈을 읽기 때문에 재미있게 한자를 배울 수 있다.,"한자 실력을 두 배로 키워라!

이미지를 통해 한자를 익히는 『마법천자문』. 우연히 보리도사를 만나 수제자가 되기로 한 후 대마왕에게 '마법천자문'이 넘어가지 않도록 승부를 벌이는 손오공의 옥황계를 넘어 광명계까지 신나는 모험을 통해 재미있게 한자를 배워나가도록 구성한 한자 학습만화입니다. 특히 '이미지'를 통해 한자의 소리와 뜻과 모양을 한꺼번에 익히는 이미지 학습의 원리를 구현했습니다. 한자를 스스로 공부할 수 있는 바탕을 마련해줄 것입니다. 

마법천자문이 파괴되고 암흑상제가 사라지자, 손오공과 동자는 삼장과 세상을 구했다며 마냥 기뻐한다. 반면 천세는 자신의 부활을 위해 수단과 방법을 가리지 않았던 암흑상제가 이렇게 쉽게 사라질 리 없다고 생각한다. 그런데 갑자기 삼장이 한자마법으로 동자를 밀쳐 버리고, 자신은 삼장이 아니라 암흑상제라고 모두에게 선언한다. 천세는 이제 삼장은 사라지고, 이제 눈앞에 서 있는 자는 암흑상제임을 인정하지만 손오공은 여전히 삼장의 냄새가 난다며 인정하지 않는데….",4140,BOOK
죽고 싶지만 떡볶이는 먹고 싶어,백세희 (지은이),51371,국내도서>에세이>한국에세이,9791196394509,"기분부전장애(가벼운 우울 증상이 지속되는 상태)를 가진 저자와 정신과 전문의와의 12주간의 대화를 엮은 책이다. 겉보기에는 멀쩡하지만 속은 곪아 있는, 지독히 우울하지도 행복하지도 않은 사람들을 위한 책이며, 타인의 시선으로부터 자유롭지 못하고, 불완전하고, 구질구질한 우리 모두의 이야기다.","★★★25개국 출간 ★★★ 
★★★정신과 전문의 추천★★★
★★★드라마화 확정★★★
★★★전 세계 100만 부 판매★★★

“참신한 방식으로 한 개인의 가장 취약한 순간을 바라보는 놀라운 관점” 
-코스모폴리탄

“성실하고 영리하다. 몇 달에 걸친 치료 과정의 실제 녹취록을 사용하여 자신의 우울과 불안감을 탐색함으로써 자기인식을 향해 조심스럽게 다가간다.”
-시카고트리뷴

“마음의 아픔에 관한 대화를 자연스러운 것으로 만들려는 작가의 노력은 감탄을 자아낸다.”
-퍼블리셔스 위클리 

“진솔하다. 우울과 불안감에 고통받는 젊은이들의 자아발견을 위한 진정성 있는 시도”
-라이브러리 저널

“이 책은 개인적이지만 또한 보편적이며 의식의 이해, 지혜로 가는 길을 찾아낸다.”
- 커커스 리뷰

“자기가 지금 힘든 줄도 모르고 사는 사람이 많아요.
이유 없는 허전함에 시달리면서.”

많은 이들이 멋지고 밝은 모습을 보여주는 것엔 익숙하지만, 찌질하고 어두운 모습은 감추려 한다. 그러나 당신이 행복해지기 위해 알아야 할 한 가지는, 당신의 마음 한 켠의 우울을 못 본 척해서는 절대로 행복해질 수 없다는 사실이다. 우리는 이제 말해야 한다. 별일 없이 사는데도 채워지지 않는 마음의 빈 공간에 대해서, 친구들과 웃고 떠드는 동안에도 울적한 마음 한구석에 대해서.

“우리는 울지 않는 사람이 아니라
울고 싶을 때 울 수 있는 사람이어야 한다.

이 책은 기분부전장애(가벼운 우울 증상이 지속되는 상태)를 가진 저자와 정신과 전문의와의  대화를 엮은 책이다. 겉보기에는 멀쩡하지만 속은 곪아 있는, 지독히 우울하지도 행복하지도 않은 사람들을 위한 책이며, 타인의 시선으로부터 자유롭지 못하고, 불완전하고, 구질구질한 우리 모두의 이야기다. 이 책이 당신의 슬픔을 모두 가져가주지는 못하겠지만, 적어도 울지 않는 사람이 아니라 울고 싶을 때 울 수 있는 사람이 되도록 도와줄 것이다.",28208,BOOK
내게 무해한 사람,최은영 (지은이),50993,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,9788954651820,"최은영 소설집. 진심을 꾹꾹 눌러 담은 문장으로 ""인간에 대한 이해가 깊은 소설을 쓰는 작가""(소설가 김연수), ""재능 있는 작가의 탄생을 알리는 소설집""(소설가 김영하)이라는 평을 받은 강렬한 데뷔작 &lt;쇼코의 미소&gt; 출간 이후 2년 만에 두번째 소설집을 선보인다.","우리 모두가 지나온, 한 번은 어설프고 위태로웠던 그 시절의 이야기들!

《쇼코의 미소》 이후 2년 만에 펴내는 최은영의 두 번째 소설집 『내게 무해한 사람』. 2년 동안 한 계절도 쉬지 않고 꾸준히 소설을 발표하며 자신을 향한 기대와 우려 섞인 시선에 소설로써 응답해 온 저자가 일곱 편의 중단편소설을 다시 처음부터 끝까지 꼼꼼히 매만지며 퇴고해 엮어낸 소설집이다. 시간이 지나고 나서야 깨닫게 된 어떤 진실을 제대로 마주하기 위해 과거를 불러내는 인물들의 이야기를 만나볼 수 있다.

사랑에 빠지기 전의 삶이 가난하게 느껴질 정도로 상대에게 몰두했지만 결국 자신의 욕심과 위선으로 이별하게 된 지난 시절을 뼈아프게 되돌아보는 레즈비언 커플의 연애담을 그린, 2017 젊은작가상 수상작 《그 여름》과 악착같이 싸우면서, 가끔은 서로를 이해하면서 어린 시절을 보낸 두 자매의 이야기를 그린 《지나가는 밤》 등의 작품이 담겨 있다.",26148,BOOK
어디서 살 것인가 - 우리가 살고 싶은 곳의 기준을 바꾸다,유현준 (지은이),51378,국내도서>인문학>교양 인문학,9788932473802,베스트셀러 &lt;도시는 무엇으로 사는가&gt;를 통해 건축과 공간을 바라보는 새로운 눈을 제시했던 건축가 유현준 교수의 신작. 자신의 삶의 방향성에 맞추어 스스로 살 곳을 변화시켜 갈 수 있도록 건축과 공간을 읽는 방법을 소개하고 다양한 삶의 결이 깃든 좋은 터전을 제안한다.,"과연 내가 살고 싶은 곳은 어떤 곳일까?

건축과 공간을 읽는 방법을 소개하고 다양한 삶의 결이 깃든 좋은 터전을 제안하며 삶의 방향성에 맞춰 스스로 살 곳을 변화시켜 갈 수 있도록 돕는 건축가 유현준의 『어디서 살 것인가』. 전작 《도시는 무엇으로 사는가》에서 도시와 우리의 모습에 ‘왜’라는 질문을 던졌던 저자는 이번에는 ‘어디서’, ‘어떻게’라는 질문을 던지며 우리가 앞으로 만들어 나갈 도시를 이야기한다. 

저자는 우리가 차를 선택할 때 외관 디자인이나 브랜드보다 더 중요하게 생각해야 하는 것이 그 자동차를 누구와 함께 타고 어디에 가느냐이듯이, 우리가 사는 곳도 마찬가지로 어떤 브랜드의 아파트냐가 아닌 어떤 공간이 우리 삶을 더 풍요롭게 하는가가 중요하다고 강조하면서 우리가 서로 얼굴을 맞대고 대화하며 서로의 색깔을 나눌 수 있는 곳, 우리가 원하는 삶의 방향에 부합하는 도시로의 변화해야 한다고 말한다.

중심도 없고 경계도 모호한 특성을 보여 주는 현대 건축들, 대형 쇼핑몰에는 항상 멀티플렉스 극장이 있는 이유, 힙합 가수가 후드티를 입는 것과 사적 공간에 대한 갈증이 어떻게 연결되는지, 숨 가쁜 도심에서 벗어나 생각에 잠길 수 있는 대교 아래 공간 이야기까지 다양한 주제를 다루며 어떤 공간이 우리를 행복하게 만드는지 생각하고 찾아갈 수 있도록 이끌어준다.",17929,BOOK
"모든 순간이 너였다 - 반짝반짝 빛나던 우리의 밤을, 꿈을, 사랑을 이야기하다",하태완 (지은이),51371,국내도서>에세이>한국에세이,9791162202913,"SNS와 전작 &lt;#너에게&gt;를 통해 50만 명에 이르는 독자들에게 사랑받은 하태완 작가의 두 번째 에세이로, 위로받고 싶을 때, 설레고 싶을 때, 사람에 사랑에 상처받았을 때… 삶의 모든 순간에 특별한 위로와 공감을 건넨다.","'나, 이대로 괜찮은 걸까?' 바쁜 일상을 살다 보면 문득 내 마음은 돌보지 못한 채, 나의 모든 순간은 정신없이 흘려보낸 채 어두운 밤을 맞이하게 되는 순간이 있다. 〈모든 순간이 너였다〉는 그런 지친 밤, 누군가 나에게 꼭 해주었으면 싶었던 말을 가만히 건네는 책이다.

SNS와 전작 〈#너에게〉를 통해 50만 명에 이르는 독자들에게 사랑받은 하태완 작가의 두 번째 에세이로, 위로받고 싶을 때, 설레고 싶을 때, 사람에 사랑에 상처받았을 때… 삶의 모든 순간에 특별한 위로와 공감을 건넨다. 소중한 모든 순간을 나누고픈 사랑하는 사람에게, 미처 의식하지 못했던 지금 이 빛나는 순간을 조금 더 단단해진 마음으로 맞이하고 싶은 나에게, 선물해주고 싶은 책이다.",21172,BOOK
경애의 마음,김금희 (지은이),50993,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,9788936434311,"2014년 첫번째 소설집 &lt;센티멘털도 하루 이틀&gt;로 신동엽문학상을, 2016년 '너무 한낮의 연애'로 젊은작가상 대상을 수상하며 한국문학의 기대주로 급부상한 소설가 김금희의 첫번째 장편소설. 2017년 봄부터 겨울까지 계간 「창작과비평」에 연재하며 문단의 호평과 독자의 기대를 한껏 받은 작품이다.","경애(敬愛)의 마음을 배워나가며 스스로 단단해져가는 사람들의 이야기!

2014년 첫 번째 소설집 《센티멘털도 하루 이틀》로 신동엽문학상을, 2016년 《너무 한낮의 연애》로 젊은작가상 대상을 수상하며 한국문학의 기대주로 급부상한 김금희의 첫 번째 장편소설 『경애의 마음』. 고등학교 시절 호프집 화재 사건에서 운 좋게 살아남은 경애와 같은 사고 현장에서 단 한명의 소중한 친구를 잃은 상수가 만나며 시작되는 소설로, 한 가지 독법으로 해석할 수 없을 만큼 보는 각도에 따라 다양한 이야기를 읽어낼 수 있는 수작이다.

연인과 이별하고 씻는 일조차 할 수 없는 깊은 무기력에 빠진 경애가 그 잔인했던 여름 내내 그나마 할 수 있는 일은 연애를 상담하는 페이스북 페이지에 편지를 쓰는 것이었다. 그런데 심상한 솔루션을 답신으로 보내주곤 했던 연애상담 페이지 ‘언니는 죄가 없다’의 운영자 ‘언니’를 경애는 몇 년 뒤 회사에서 만나게 된다. 반도미싱 영업부의 팀원 없는 팀장대리로, 낙하산이라는 오욕을 견디는 상수가 퇴근 뒤 밤에는 ‘언니’라는 이름으로 이중생활을 이어나가고 있었던 것이다. 

그렇게 한 회사에서 팀장과 팀원으로 만나게 된 경애와 상수 사이에는 사실 그들도 모르는 연결고리가 또 하나 숨겨져 있었다. 1999년 인천 호프집 화재사건에서 소중한 친구를 잃은 두 사람. 경애는 동시에 그 사고의 생존자이기도 했다. 그 연결고리를 알지 못한 채 둘은 서로에게 마음을 열게 되고 점점 더 특별한 애틋함으로 다가가게 되는데…….",8963,BOOK
컬러의 말 : 모든 색에는 이름이 있다,"카시아 세인트 클레어 (지은이), 이용재 (옮긴이)",50963,국내도서>예술/대중문화>예술/대중문화의 이해>대중문화론,9791155811566,"매일 보는 색부터 미술작품 속에만 존재하는 색까지, 그 이름과 그 색에 얽힌 75가지 형형색색 이야기들이 펼쳐진다. 반 고흐가 사랑한 크롬 옐로, 나폴레옹을 죽음에 이르게 한 셸레 그린, 역사상 가장 논쟁적 색상인 누드까지 컬러가 품은 이름과 사연들은 모두 특별하고 경이롭다.","색이 품고 있는 다채로운 이야기!

디자인 저널리스트 카시아 세인트 클레어의 재기발랄한 컬러 모험기 『컬러의 말』. 《이코노미스트》와 《엘르》에 컬러의 비밀스런 삶을 꾸준히 써온 저자는 때론 잔인하고 때론 낭만적인 색의 세계로 우리를 안내한다. 매일 보는 색부터 미술작품 속에만 존재하는 색까지, 매력적이거나 중요하거나 불쾌한 역사가 깃든 색을 골라 그 이름과 그 색에 얽힌 75가지 형형색색의 이야기들을 들려준다. 반 고흐가 사랑한 크롬 옐로, 나폴레옹을 죽음에 이르게 한 셸레 그린, 역사상 가장 논쟁적 색상인 누드까지 역사, 사회, 문화, 정치, 예술, 심리를 오가며 색에 관한 놀랍고 비밀스런 이야기들을 선사한다.",9391,BOOK
고양이 1,"베르나르 베르베르 (지은이), 전미연 (옮긴이)",89481,국내도서>소설/시/희곡>과학소설(SF)>외국 과학소설,9788932919126,"베르나르 베르베르 장편소설. 제목 그대로 주인공인 고양이의 시각에서 인간의 문명을 바라보는 작품으로, 프랑스에서는 작년 한국에서도 베스트셀러가 되었던 &lt;잠&gt;보다 높은 인기를 누렸다.","고양이의 눈으로 바라본 인간의 미래!

베르나르 베르베르의 신작 장편소설 『고양이』 제1권. 파리에서 살고 있는 암고양이 바스테트의 시각에서 인간의 문명을 바라보는 작품이다. 인간이 상상하기 어려운 타자의 시각을 도입하여, 인간 중심주의를 해체하고 이 지구에서 인간이 차지해야 할 적절한 위치를 끊임없이 고민해 온 저자의 문제의식이 그동안 좀 더 성숙해지고 발전해 왔음을 알게 된다. 

테러가 일상화되고 내전의 조짐이 보이는 파리. 몽마르트르에서 집사인 나탈리와 함께 사는 암고양이 바스테트는 어느 날 옆집에 사는 천재 샴 고양이 피타고라스를 만난다. 한때 실험동물이었던 피타고라스는 머리에 USB 단자가 꽂혀 있어 인터넷을 통해 방대한 지식을 갖춘 지적인 고양이다. 피타고라스에게서 인류와 고양이의 역사를 배우며 점차 가까워지는 사이, 파리 시내는 테러가 빈발하는 불안한 상황이 되고 결국 내전이 일어난다. 

내전으로 황폐화된 도시에는 페스트가 창궐하고 사람들은 사나운 쥐 떼들을 피해 도시를 떠난다. 쥐 떼에 점령당한 도시에서 도망친 고양이들이 불로뉴 숲에 모여, 고양이 군대를 만들어 뺏긴 도시를 탈환하기로 한다. 페스트의 확산과 쥐 떼들을 피하기 위해서 센강의 시뉴섬으로 향하는 고양이 군대. 하지만 쥐 떼의 접근을 차단하려면 섬으로 통하는 다리를 폭파해야 하고, 그러려면 인간의 도움이 절실하다. 과연 고양이와 인간은 서로 소통에 성공하고 쥐 떼들의 공격과 페스트, 전쟁의 틈새에서 살아남을 수 있을까?",14066,BOOK
열두 발자국 - 생각의 모험으로 지성의 숲으로 지도 밖의 세계로 이끄는 열두 번의 강의,정재승 (지은이),51378,국내도서>인문학>교양 인문학,9791160560510,"&lt;과학콘서트&gt; &lt;알쓸신잡&gt;의 정재승 교수가 지난 10년 간 저자의 강연 중 가장 많은 호응을 받았던 12개의 강연을 선별하여 다시 집필하고 묶은 것이다. 더 나은 선택, 더 나은 미래를 위해 고군분투하고 있는 청춘들과 이 땅의 리더들에게 주는 뇌과학의 지혜와 통찰이 가득하다.","《과학콘서트》 《알쓸신잡》 대한민국을 매혹시킨
KAIST 정재승 교수의 최고의 강연이 펼쳐진다

스마트한 선택을 위한 뇌과학의 지혜에서부터
4차 산업혁명 시대 미래의 기회를 발견하기 위한 과학의 통찰까지
지식이 지혜로 바뀌는 열두 번의 놀라운 경험
경계를 넘어 새로운 생각의 우주로 안내하는 최고의 지식 콘서트

정재승의 강연은 가보지 않았던 새로운 생각의 숲으로 이끄는 발자국이다. 그의 발자국을 따라 들어간 숲에서 청중들은 ‘과학 지식이 삶과 세상에 대한 통찰과 지혜로 바뀌는 경험’을 하게 된다. 대한민국의 청년들에서부터 조직의 리더들까지, 세대와 성별을 넘어 많이 이들이 그의 이야기에 귀 기울이는 까닭이다.

이 책은 지난 10년 간 저자의 강연 중 가장 많은 호응을 받았던 12개의 강연을 선별하여 다시 집필하고 묶은 것이다. 더 나은 선택, 더 나은 미래를 위해 고군분투하고 있는 청춘들과 이 땅의 리더들에게 주는 뇌과학의 지혜와 통찰이 이 책에는 가득하다. 통념을 뒤집고 뒤통수를 후려치는 생각의 전복, 관계없어 보이던 사실과 지식이 연결되는 놀라운 생각의 모험, 차갑게 보이는 과학과 지성의 성찰이 어느새 가슴 뛰는 삶의 통찰로 바뀌는 이야기들이다. 

창의적인 사람들의 뇌에서는 어떤 일이 벌어지고 있을까, 더 나은 선택과 의사결정을 위한 뇌과학의 지혜는 무엇일까, 4차 산업혁명 시대, 새로운 기회를 어떻게 발견할 것인가, 인공지능 시대를 살아갈 서툰 사피엔스들을 위한 조언은 무엇인가. 언제나 새로고침하고 싶은 인생의 난제들 앞에서, 숨 가쁘게 변화하는 시대의 한 가운데에서 저자는 질문을 던지고 해답을 독자들과 함께 탐색한다. 그리고 독자들은 생각의 모험으로, 지성의 숲으로, 지도 밖의 세계로 이끄는 저자의 발자국을 따라 인간이라는 거대한 우주를, 아직 오지 않은 세상을 탐험하는 근사한 여행을 떠날 수 있을 것이다.",27001,BOOK
